regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
support_rank_top10__AND__low_ll_q35,2,1048,1888,13,38,3,-0.10461499039468497,-0.08356282264685681,0.03657263127994275,False,0.03822027039373352
low_ll_q50__AND__high_disagreement_q75,2,684,1663,13,43,3,-0.07969299968761602,-0.02701806191180866,0.03213055033610794,False,0.015229890585155415
low_ll_q50__AND__high_ref_adv_q75,2,684,1663,13,43,3,-0.07969299968761602,-0.02701806191180866,0.03213055033610794,False,0.015229890585155415
low_ll_q35__AND__high_disagreement_q75,2,612,1433,13,38,3,-0.0700950399475248,-0.02916822702936923,0.031272492634371936,False,0.023534979834459548
low_ll_q35__AND__high_ref_adv_q75,2,612,1433,13,38,3,-0.0700950399475248,-0.02916822702936923,0.031272492634371936,False,0.023534979834459548
low_ll_q50,1,1355,4156,13,43,3,-0.11410216587804083,-0.09035053298935602,0.030410385636924213,False,0.02929515056869197
low_ll_q35,1,1048,2777,13,38,3,-0.10461499039468497,-0.08356282264685681,0.02909259500529035,False,0.03385691590018628
low_ll_q35__AND__low_ll_q50,2,1048,2777,13,38,3,-0.10461499039468497,-0.08356282264685681,0.02909259500529035,False,0.03385691590018628
low_ll_q35__AND__high_disagreement_q85,2,342,833,13,38,3,-0.014034637015830577,0.01784577750267718,0.027474259981369473,False,0.026596409853336
low_ll_q35__AND__high_ref_adv_q85,2,342,833,13,38,3,-0.014034637015830577,0.01784577750267718,0.027474259981369473,False,0.026596409853336
low_ll_q50__AND__high_disagreement_q85,2,388,976,13,43,3,-0.032365229929329914,0.020360121895783553,0.02635096984307729,False,0.012215518407015387
low_ll_q50__AND__high_ref_adv_q85,2,388,976,13,43,3,-0.032365229929329914,0.020360121895783553,0.02635096984307729,False,0.012215518407015387
high_frob_q75__AND__low_ll_q50,2,344,883,13,43,3,-0.04255801508373957,0.025289880893337696,0.018040799611059255,False,9.973994711568604e-05
high_frob_q75__AND__low_ll_q35,2,266,630,13,38,3,-0.0024870348172293757,0.03158285719660913,0.017240210916329504,False,0.01934935269311975
