model_label,family_label,architecture_kind,rule_type,threshold,confidence_threshold,n_rule_on,fraction_rule_on,coverage_target,coverage_floor_pass,pathogenic_fraction_rule_on,pathogenic_fraction_rule_off,enrichment_gap,gap_ci_low,gap_ci_high,positive_with_rule,negative_with_rule,positive_without_rule,negative_without_rule,odds_ratio,random_gap_mean,random_gap_p95,random_gap_p05
ProGen2-small,progen,causal_decoder,combined,0.05,,11,0.043137254901960784,13,False,0.6363636363636364,0.4426229508196721,0.19374068554396423,-0.10367921013412817,0.4541728763040238,7,4,108,136,2.096774193548387,-0.012425484351713876,0.19374068554396423,-0.28129657228017885
ProGen2-small,progen,causal_decoder,combined_confident,0.05,0.55,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4881889763779528,0.6181102362204725,1,0,114,140,3.6812227074235806,-0.00851377952755905,0.5511811023622047,-0.452755905511811
ProGen2-small,progen,causal_decoder,combined_confident,0.05,0.6,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4881889763779528,0.610236220472441,1,0,114,140,3.6812227074235806,-0.021062992125984253,0.5511811023622047,-0.452755905511811
ProGen2-small,progen,causal_decoder,combined_confident,0.05,0.65,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4881889763779528,0.610236220472441,1,0,114,140,3.6812227074235806,-0.026082677165354333,0.5511811023622047,-0.452755905511811
ProGen2-small,progen,causal_decoder,chemistry_only,0.1,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05791408992144409,0.22548679592177828,32,30,83,110,1.410130558555021,-0.003905858265084403,0.10738759819488547,-0.1057161958883503
ProGen2-small,progen,causal_decoder,pair_only,0.1,,15,0.058823529411764705,13,True,0.9333333333333333,0.42083333333333334,0.5125,0.35416666666666674,0.6291666666666667,14,1,101,139,13.285714285714286,-0.0017500000000000083,0.22916666666666663,-0.19583333333333336
ProGen2-small,progen,causal_decoder,scalar_only,0.1,,148,0.5803921568627451,13,True,0.5675675675675675,0.2897196261682243,0.27784794139934327,0.15734876231371564,0.3999115938368275,84,64,31,76,3.1816168327796235,-0.0025779868653700282,0.10071987875726196,-0.10861328618337956
ProGen2-small,progen,causal_decoder,combined,0.1,,5,0.0196078431372549,13,False,1.0,0.44,0.56,0.496,0.62,5,0,110,140,13.986425339366516,-0.0045700000000000116,0.35600000000000004,-0.256
ProGen2-small,progen,causal_decoder,combined_confident,0.1,0.55,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4921259842519685,0.610236220472441,1,0,114,140,3.6812227074235806,-0.026082677165354326,0.5511811023622047,-0.452755905511811
ProGen2-small,progen,causal_decoder,combined_confident,0.1,0.6,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4881889763779528,0.610236220472441,1,0,114,140,3.6812227074235806,0.011564960629921262,0.5511811023622047,-0.452755905511811
